doi,title,relevant,tags
"10.1038/s41467-020-15987-2","Ultrastructural visualization of 3D chromatin folding using volume electron microscopy and DNA in situ hybridization","no",[]
"10.7554/eLife.04236","3D imaging of Sox2 enhancer clusters in embryonic stem cells","no",[]
"10.3390/genes14020499","Phase Separation: Direct and Indirect Driving Force for High-Order Chromatin Organization","no",[]
"10.3390/ijms21218329","Tn5 Transposase Applied in Genomics Research","no",[]
"10.1186/1471-2164-15-S12-S11","Chromatin Interaction Analysis with Paired-End Tag (ChIA-PET) sequencing technology and application","no",[]
"10.1083/jcb.125.1.1","THE 3-DIMENSIONAL ARCHITECTURE OF CHROMATIN IN-SITU - ELECTRON TOMOGRAPHY REVEALS FIBERS COMPOSED OF A CONTINUOUSLY VARIABLE ZIGZAG NUCLEOSOMAL RIBBON","no",[]
"10.1093/bfgp/elz024","Three-dimensional chromosome organization in flowering plants","no",[]
"10.1002/1873-3468.12778","Challenges for visualizing three-dimensional data in genomic browsers","no",[]
"10.1038/s41388-020-01625-0","Supercharging BRD4 with NUT in carcinoma","no",[]
"10.3389/fpls.2017.01235","Observation of Extensive Chromosome Axis Remodeling during the “Diffuse-Phase” of Meiosis in Large Genome Cereals","no",[]
"10.1186/s13059-021-02523-8","TAD-like single-cell domain structures exist on both active and inactive X chromosomes and persist under epigenetic perturbations","no",[]
"10.1371/journal.pone.0236666","Model-based analysis of chromatin interactions from dCas9-Based CAPTURE-3C-seq","no",[]
"10.1038/s41467-017-01962-x","Single-cell absolute contact probability detection reveals chromosomes are organized by multiple low-frequency yet specific interactions","no",[]
"10.1186/s13100-020-0202-3","Integrating transposable elements in the 3D genome","no",[]
"10.1016/j.molcel.2016.10.009","3D-CLEM Reveals that a Major Portion of Mitotic Chromosomes Is Not Chromatin","no",[]
"10.1016/j.cell.2013.02.001","Genome Architecture: Domain Organization of Interphase Chromosomes","no",[]
"10.1016/j.ceb.2020.01.002","Computational approaches from polymer physics to investigate chromatin folding","no",[]
"10.3389/fbinf.2023.1232671","Assessing 2D visual encoding of 3D spatial connectivity","no",[]
"10.1039/d2lc00482h","On the robustness of machine learning algorithms toward microfluidic distortions for cell classification <i>via</i> on-chip fluorescence microscopy","no",[]
"","Sorting cells from fluorescent markers organization in confocal microscopy: 3D versus 2D images","no",[]
"10.5483/BMBRep.2010.43.11.744","Replication origins ori<i>GNAI</i>3 and <i>ori</i>B of the mammalian <i>AMPD2</i> locus nested in a region of straight DNA flanked by intrinsically bent DNA sites","no",[]
"10.7554/eLife.23645","Cooperation between a hierarchical set of recruitment sites targets the X chromosome for dosage compensation","no",[]
"10.3109/19396368.2013.772679","The three-dimensional image analysis of the chromocenter in motile and immotile human sperm","no",[]
"10.1016/j.devcel.2021.04.023","Decoding the organization, dynamics, and function of the 4D genome","no",[]
"10.1530/JME-19-0266","90 YEARS OF PROGESTERONE Molecular mechanisms of progesterone receptor action on the breast cancer genome","no",[]
"10.1093/nar/gkac619","The HDAC7-TET2 epigenetic axis is essential during early B lymphocyte development","no",[]
"10.1038/s41586-021-03193-z","Loop extrusion as a mechanism for formation of DNA damage repair foci","no",[]
"10.1371/journal.pcbi.1000853","Statistical Analysis of 3D Images Detects Regular Spatial Distributions of Centromeres and Chromocenters in Animal and Plant Nuclei","no",[]
"10.1186/1472-6807-7-17","On the origin of the histone fold","no",[]
"10.1111/j.1365-2818.2009.03304.x","Model based precision structural measurements on barely resolved objects","no",[]
"10.1038/s41467-019-12383-3","CENP-A nucleosome clusters form rosette-like structures around HJURP during G1","no",[]
"10.1016/j.cels.2020.08.015","μDamID: A Microfluidic Approach for Joint Imaging and Sequencing of Protein-DNA Interactions in Single Cells","no",[]
"10.1016/j.devcel.2019.09.010","Active Fluctuations of the Nuclear Envelope Shape the Transcriptional Dynamics in Oocytes","no",[]
